 ,model,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url,volume,battery/volume, size sum,battery/size
Audi,A6 Avant e-tron,210,76.0,150.0,435,465,6.0,150.0,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3055/Audi-A6-Avant-e-tron,13.78837152,5.511890936,8.306,9.150012039
Audi,A6 Avant e-tron performance,210,95.0,180.0,565,575,5.4,200.0,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/2272/Audi-A6-Avant-e-tron-performance,13.78837152,6.88986367,8.306,11.43751505
Audi,A6 Avant e-tron quattro,210,95.0,180.0,855,560,4.5,200.0,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1455,Station/Estate,https://ev-database.org/car/3054/Audi-A6-Avant-e-tron-quattro,13.78837152,6.88986367,8.306,11.43751505
Audi,A6 Sportback e-tron,210,76.0,150.0,435,495,6.0,150.0,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3053/Audi-A6-Sportback-e-tron,13.78837152,5.511890936,8.306,9.150012039
Audi,A6 Sportback e-tron performance,210,95.0,180.0,565,610,5.4,200.0,CCS,2100,502,5,RWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/2270/Audi-A6-Sportback-e-tron-performance,13.78837152,6.88986367,8.306,11.43751505
Audi,A6 Sportback e-tron quattro,210,95.0,180.0,855,590,4.7,200.0,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1455,Liftback Sedan,https://ev-database.org/car/3052/Audi-A6-Sportback-e-tron-quattro,13.78837152,6.88986367,8.306,11.43751505
Audi,Q4 Sportback e-tron 40,160,59.0,216.0,310,340,8.1,110.0,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/3149/Audi-Q4-Sportback-e-tron-40,13.81038468,4.272147472,8.067,7.313747366
Audi,Q4 Sportback e-tron 45,180,77.0,288.0,545,435,6.7,120.0,CCS,1000,535,5,RWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2016/Audi-Q4-Sportback-e-tron-45,13.81038468,5.575514498,8.067,9.545060121
Audi,Q4 Sportback e-tron 45 quattro,180,77.0,288.0,679,410,6.6,120.0,CCS,1200,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2017/Audi-Q4-Sportback-e-tron-45-quattro,13.81038468,5.575514498,8.067,9.545060121
Audi,Q4 Sportback e-tron 55 quattro,180,77.0,288.0,679,415,5.4,120.0,CCS,1200,535,5,AWD,JC - Medium,4588,1865,1614,SUV,https://ev-database.org/car/2018/Audi-Q4-Sportback-e-tron-55-quattro,13.81038468,5.575514498,8.067,9.545060121
Audi,Q4 e-tron 40,160,59.0,216.0,310,325,8.1,110.0,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/3148/Audi-Q4-e-tron-40,13.96440384,4.225028199,8.085,7.29746444
Audi,Q4 e-tron 45,180,77.0,288.0,545,420,6.7,120.0,CCS,1000,520,5,RWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2013/Audi-Q4-e-tron-45,13.96440384,5.514019852,8.085,9.523809524
Audi,Q4 e-tron 45 quattro,180,77.0,288.0,679,395,6.6,120.0,CCS,1200,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2014/Audi-Q4-e-tron-45-quattro,13.96440384,5.514019852,8.085,9.523809524
Audi,Q4 e-tron 55 quattro,180,77.0,288.0,679,395,5.4,120.0,CCS,1200,520,5,AWD,JC - Medium,4588,1865,1632,SUV,https://ev-database.org/car/2015/Audi-Q4-e-tron-55-quattro,13.96440384,5.514019852,8.085,9.523809524
Audi,Q6 e-tron,210,76.0,150.0,450,395,7.0,150.0,CCS,2000,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2281/Audi-Q6-e-tron,15.58788277,4.87558196,8.395,9.053007743
Audi,Q6 e-tron Sportback,210,76.0,150.0,450,410,7.0,150.0,CCS,2000,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3041/Audi-Q6-e-tron-Sportback,15.40286339,4.934147509,8.375,9.074626866
Audi,Q6 e-tron Sportback performance,210,95.0,180.0,485,510,6.6,190.0,CCS,2000,511,5,RWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3042/Audi-Q6-e-tron-Sportback-performance,15.40286339,6.167684386,8.375,11.34328358
Audi,Q6 e-tron Sportback quattro,210,95.0,180.0,855,500,5.9,200.0,CCS,2400,511,5,AWD,JD - Large,4771,1939,1665,SUV,https://ev-database.org/car/3043/Audi-Q6-e-tron-Sportback-quattro,15.40286339,6.167684386,8.375,11.34328358
Audi,Q6 e-tron performance,210,95.0,180.0,485,490,6.6,190.0,CCS,2000,526,5,RWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2215/Audi-Q6-e-tron-performance,15.58788277,6.09447745,8.395,11.31625968
Audi,Q6 e-tron quattro,210,95.0,180.0,855,480,5.9,200.0,CCS,2400,450,5,AWD,JD - Large,4771,1939,1685,SUV,https://ev-database.org/car/2146/Audi-Q6-e-tron-quattro,15.58788277,6.09447745,8.395,11.31625968
Audi,S6 Avant e-tron,240,95.0,180.0,855,530,3.9,200.0,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1493,Station/Estate,https://ev-database.org/car/2273/Audi-S6-Avant-e-tron,14.14848019,6.714502103,8.344,11.38542665
Audi,S6 Sportback e-tron,240,95.0,180.0,855,555,3.9,200.0,CCS,2100,502,5,AWD,JE - Executive,4928,1923,1465,Liftback Sedan,https://ev-database.org/car/2271/Audi-S6-Sportback-e-tron,13.88313696,6.842833884,8.316,11.42376142
Audi,SQ6 e-tron,230,95.0,180.0,855,470,4.3,200.0,CCS,2400,514,5,AWD,JD - Large,4771,1965,1685,SUV,https://ev-database.org/car/2147/Audi-SQ6-e-tron,15.79690028,6.013838053,8.421,11.28132051
Audi,SQ6 e-tron Sportback,230,95.0,180.0,855,495,4.3,200.0,CCS,2400,511,5,AWD,JD - Large,4771,1965,1665,SUV,https://ev-database.org/car/3044/Audi-SQ6-e-tron-Sportback,15.60939998,6.086076348,8.401,11.3081776
Audi,e-tron GT RS,250,97.0,396.0,865,525,2.8,281.0,CCS,0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,https://ev-database.org/car/2220/Audi-e-tron-GT-RS,13.63179601,7.115716808,8.35,11.61676647
Audi,e-tron GT RS performance,250,97.0,396.0,1027,525,2.5,281.0,CCS,0,350,4,AWD,F - Luxury,4997,1964,1389,Sedan,https://ev-database.org/car/2221/Audi-e-tron-GT-RS-performance,13.63179601,7.115716808,8.35,11.61676647
Audi,e-tron GT S,245,97.0,396.0,740,540,3.4,281.0,CCS,0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,https://ev-database.org/car/2219/Audi-e-tron-GT-S,13.70003126,7.080275813,8.362,11.60009567
Audi,e-tron GT quattro,245,97.0,396.0,625,540,4.0,281.0,CCS,0,405,4,AWD,F - Luxury,5004,1964,1394,Sedan,https://ev-database.org/car/3182/Audi-e-tron-GT-quattro,13.70003126,7.080275813,8.362,11.60009567
BMW,i4 M50,225,81.0,326.0,795,450,3.9,131.0,CCS,1600,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2201/BMW-i4-M50,12.82655197,6.315025285,8.083,10.0210318
BMW,i4 eDrive35,190,67.0,316.0,400,430,6.0,95.0,CCS,1600,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2198/BMW-i4-eDrive35,12.82655197,5.223539433,8.083,8.289001608
BMW,i4 eDrive40,190,81.0,321.0,430,515,5.6,131.0,CCS,1600,470,5,RWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2199/BMW-i4-eDrive40,12.82655197,6.315025285,8.083,10.0210318
BMW,i4 xDrive40,200,81.0,370.0,600,490,5.1,131.0,CCS,1600,470,5,AWD,D - Large,4783,1852,1448,Liftback Sedan,https://ev-database.org/car/2200/BMW-i4-xDrive40,12.82655197,6.315025285,8.083,10.0210318
BMW,i5 M60 xDrive Sedan (MY25),230,81.0,149.0,795,430,3.8,136.0,CCS,2000,490,5,AWD,E - Executive,5060,1900,1505,Sedan,https://ev-database.org/car/3114/BMW-i5-M60-xDrive-Sedan,14.46907,5.598148326,8.465,9.568812758
BMW,i5 M60 xDrive Touring (MY25),230,81.0,129.0,795,425,3.9,136.0,CCS,2000,570,5,AWD,E - Executive,5060,1900,1505,Station/Estate,https://ev-database.org/car/3117/BMW-i5-M60-xDrive-Touring,14.46907,5.598148326,8.465,9.568812758
BMW,i5 eDrive40 Sedan (MY25),193,81.0,263.0,400,480,6.0,136.0,CCS,1500,490,5,RWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3112/BMW-i5-eDrive40-Sedan,14.56521,5.561196852,8.475,9.557522124
BMW,i5 eDrive40 Touring (MY25),193,81.0,229.0,400,465,6.1,136.0,CCS,1500,570,5,RWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3115/BMW-i5-eDrive40-Touring,14.56521,5.561196852,8.475,9.557522124
BMW,i5 xDrive40 Sedan (MY25),215,81.0,160.0,590,465,5.4,136.0,CCS,2000,490,5,AWD,E - Executive,5060,1900,1515,Sedan,https://ev-database.org/car/3113/BMW-i5-xDrive40-Sedan,14.56521,5.561196852,8.475,9.557522124
BMW,i5 xDrive40 Touring (MY25),215,81.0,138.0,590,450,5.5,136.0,CCS,2000,570,5,AWD,E - Executive,5060,1900,1515,Station/Estate,https://ev-database.org/car/3116/BMW-i5-xDrive40-Touring,14.56521,5.561196852,8.475,9.557522124
BMW,i7 M70 xDrive,250,102.0,2686.0,1100,490,3.7,159.0,CCS,0,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1838/BMW-i7-M70-xDrive,16.2312228,6.284184578,8.885,11.48002251
BMW,i7 eDrive50,205,102.0,1824.0,650,520,5.5,159.0,CCS,0,500,5,RWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1905/BMW-i7-eDrive50,16.2312228,6.284184578,8.885,11.48002251
BMW,i7 xDrive60,240,102.0,129.0,745,510,4.7,159.0,CCS,2000,500,5,AWD,F - Luxury,5391,1950,1544,Sedan,https://ev-database.org/car/1676/BMW-i7-xDrive60,16.2312228,6.284184578,8.885,11.48002251
BMW,iX M70 xDrive,250,109.0,2395.0,1015,500,3.8,150.0,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3111/BMW-iX-M70-xDrive,16.57887975,6.57462999,8.63,12.63035921
BMW,iX xDrive45,200,95.0,298.0,700,470,5.1,115.0,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3109/BMW-iX-xDrive45,16.57887975,5.730182101,8.63,11.00811124
BMW,iX xDrive60,200,109.0,298.0,765,525,4.6,150.0,CCS,2500,500,5,AWD,JE - Executive,4965,1970,1695,SUV,https://ev-database.org/car/3110/BMW-iX-xDrive60,16.57887975,6.57462999,8.63,12.63035921
BMW,iX1 eDrive20,170,65.0,112.0,247,390,8.3,94.0,CCS,750,490,5,FWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1996/BMW-iX1-eDrive20,13.41684,4.844657908,7.961,8.164803417
BMW,iX1 xDrive30,180,65.0,199.0,494,380,5.6,94.0,CCS,1200,490,5,AWD,JC - Medium,4500,1845,1616,SUV,https://ev-database.org/car/1701/BMW-iX1-xDrive30,13.41684,4.844657908,7.961,8.164803417
BMW,iX2 eDrive20,170,65.0,141.0,247,395,8.6,94.0,CCS,750,525,5,FWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2097/BMW-iX2-eDrive20,13.1073228,4.959059984,7.959,8.166855133
BMW,iX2 xDrive30,180,65.0,240.0,494,385,5.6,94.0,CCS,1200,525,5,AWD,JC - Medium,4554,1845,1560,SUV,https://ev-database.org/car/2040/BMW-iX2-xDrive30,13.1073228,4.959059984,7.959,8.166855133
BYD,ATTO 2,160,45.0,136.0,290,245,7.9,51.0,CCS,750,400,5,FWD,JB - Compact,4310,1830,1675,SUV,https://ev-database.org/car/3125/BYD-ATTO-2,13.2112275,3.406193709,7.815,5.75815739
BYD,ATTO 3 (MY25),160,60.0,126.0,310,340,7.3,75.0,CCS,750,440,5,FWD,JC - Medium,4455,1875,1615,SUV,https://ev-database.org/car/3192/BYD-ATTO-3,13.49029688,4.447641187,7.945,7.551919446
BYD,DOLPHIN 44.9 kWh Active,150,45.0,104.0,180,265,12.3,50.0,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1917/BYD-DOLPHIN-449-kWh-Active,11.921481,3.774698798,7.63,5.897771953
BYD,DOLPHIN 44.9 kWh Boost,160,45.0,104.0,274,260,8.0,50.0,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1918/BYD-DOLPHIN-449-kWh-Boost,11.921481,3.774698798,7.63,5.897771953
BYD,DOLPHIN 60.4 kWh,160,60.0,126.0,310,350,7.0,65.0,CCS,0,345,5,FWD,C - Medium,4290,1770,1570,Hatchback,https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh,11.921481,5.032931731,7.63,7.863695937
BYD,DOLPHIN SURF 30 kWh Active,150,30.0,94.0,175,190,11.1,45.0,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3193/BYD-DOLPHIN-SURF-30-kWh-Active,10.911852,2.749304151,7.3,4.109589041
BYD,DOLPHIN SURF 43.2 kWh Boost,150,43.0,90.0,175,270,12.1,60.0,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3194/BYD-DOLPHIN-SURF-432-kWh-Boost,10.911852,3.940669283,7.3,5.890410959
BYD,DOLPHIN SURF 43.2 kWh Comfort,150,43.0,90.0,220,265,9.1,60.0,CCS,0,308,4,FWD,B - Compact,3990,1720,1590,Hatchback,https://ev-database.org/car/3195/BYD-DOLPHIN-SURF-432-kWh-Comfort,10.911852,3.940669283,7.3,5.890410959
BYD,SEAL 61.4 kWh RWD Comfort,220,61.0,128.0,380,365,7.5,75.0,CCS,750,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/3102/BYD-SEAL-614-kWh-RWD-Comfort,13.14,4.642313546,8.135,7.49846343
BYD,SEAL 82.5 kWh AWD Excellence,180,82.0,172.0,670,445,3.8,100.0,CCS,1500,400,5,AWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2002/BYD-SEAL-825-kWh-AWD-Excellence,13.14,6.240487062,8.135,10.07990166
BYD,SEAL 82.5 kWh RWD Design,180,82.0,172.0,360,480,5.9,100.0,CCS,750,400,5,RWD,D - Large,4800,1875,1460,Sedan,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design,13.14,6.240487062,8.135,10.07990166
BYD,SEAL U 71.8 kWh Comfort,175,72.0,132.0,310,360,9.3,72.0,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2094/BYD-SEAL-U-718-kWh-Comfort,15.0848082,4.773013952,8.343,8.629989213
BYD,SEAL U 87 kWh Design,175,87.0,160.0,330,425,9.6,85.0,CCS,1300,552,5,FWD,JD - Large,4785,1890,1668,SUV,https://ev-database.org/car/2067/BYD-SEAL-U-87-kWh-Design,15.0848082,5.767391859,8.343,10.42790363
BYD,SEALION 7 82.5 kWh AWD Design,215,82.0,172.0,690,400,4.5,115.0,CCS,1500,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3071/BYD-SEALION-7-825-kWh-AWD-Design,15.062355,5.44403581,8.375,9.791044776
BYD,SEALION 7 82.5 kWh RWD Comfort,215,82.0,172.0,380,415,6.7,115.0,CCS,750,520,5,RWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3070/BYD-SEALION-7-825-kWh-RWD-Comfort,15.062355,5.44403581,8.375,9.791044776
BYD,SEALION 7 91.3 kWh AWD Excellence,215,91.0,226.0,690,430,4.5,165.0,CCS,1500,520,5,AWD,JD - Large,4830,1925,1620,SUV,https://ev-database.org/car/3072/BYD-SEALION-7-913-kWh-AWD-Excellence,15.062355,6.041551935,8.375,10.86567164
BYD,TANG Flagship,190,109.0,257.0,700,460,4.9,100.0,CCS,1500,235,7,AWD,JE - Executive,4970,1955,1745,SUV,https://ev-database.org/car/2095/BYD-TANG-Flagship,16.95503075,6.428770411,8.67,12.57208766
CUPRA,Born 170 kW - 59 kWh,160,59.0,216.0,310,360,6.7,110.0,CCS,0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2233/CUPRA-Born-170-kW---59-kWh,12.04048692,4.900134055,7.671,7.691304915
CUPRA,Born 170 kW - 77 kWh,160,77.0,288.0,310,460,7.0,125.0,CCS,0,385,5,RWD,C - Medium,4322,1809,1540,Hatchback,https://ev-database.org/car/2234/CUPRA-Born-170-kW---77-kWh,12.04048692,6.395090208,7.671,10.03780472
CUPRA,Born VZ,200,79.0,288.0,545,465,5.6,135.0,CCS,0,385,5,RWD,C - Medium,4322,1809,1538,Hatchback,https://ev-database.org/car/2128/CUPRA-Born-VZ,12.02484992,6.569728562,7.669,10.30121267
CUPRA,Tavascan Endurance,180,77.0,288.0,545,445,6.8,120.0,CCS,1000,540,5,RWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1971/CUPRA-Tavascan-Endurance,13.80204695,5.578882632,8.102,9.503826216
CUPRA,Tavascan VZ,180,77.0,288.0,545,425,5.5,120.0,CCS,1200,540,5,AWD,JC - Medium,4644,1861,1597,SUV,https://ev-database.org/car/1972/CUPRA-Tavascan-VZ,13.80204695,5.578882632,8.102,9.503826216
Cadillac,Lyriq 600 E4,210,102.0,288.0,610,460,5.3,165.0,CCS,1587,793,5,AWD,JF - Luxury,5005,1977,1623,SUV,https://ev-database.org/car/2243/Cadillac-Lyriq-600-E4,16.05939836,6.351421003,8.605,11.8535735
Citroen,e-Berlingo M 50 kWh,132,50.0,180.0,260,235,11.7,80.0,CCS,750,775,5,FWD,N - Passenger Van,4403,1921,1803,Small Passenger Van,https://ev-database.org/car/2159/Citroen-e-Berlingo-M-50-kWh,15.25006789,3.278673929,8.127,6.152331734
Citroen,e-Berlingo XL 50 kWh,132,50.0,278.0,260,230,11.7,80.0,CCS,750,1050,7,FWD,N - Passenger Van,4753,1921,1814,Small Passenger Van,https://ev-database.org/car/2160/Citroen-e-Berlingo-XL-50-kWh,16.56275058,3.018822251,8.488,5.89066918
Citroen,e-C3,135,44.0,163.0,120,255,11.5,60.0,CCS,550,310,5,FWD,B - Compact,4015,1755,1577,Hatchback,https://ev-database.org/car/2039/Citroen-e-C3,11.11205453,3.959663796,7.347,5.988838982
Citroen,e-C3 Aircross,145,44.0,151.0,125,240,12.9,60.0,CCS,350,460,5,FWD,JB - Compact,4395,1795,1660,SUV,https://ev-database.org/car/2224/Citroen-e-C3-Aircross,13.0957815,3.359860578,7.85,5.605095541
Citroen,e-C4,150,46.0,216.0,260,285,9.9,78.0,CCS,0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3047/Citroen-e-C4,12.194266,3.772264768,7.719,5.959321156
Citroen,e-C4 54 kWh,150,51.0,102.0,260,325,9.1,78.0,CCS,0,380,5,FWD,C - Medium,4360,1834,1525,Hatchback,https://ev-database.org/car/3048/Citroen-e-C4-54-kWh,12.194266,4.182293547,7.719,6.607073455
Citroen,e-C4 X,150,46.0,216.0,260,290,9.9,78.0,CCS,0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3049/Citroen-e-C4-X,12.86551,3.575450954,7.959,5.779620555
Citroen,e-C4 X 54 kWh,150,51.0,102.0,260,335,9.1,78.0,CCS,0,510,5,FWD,C - Medium,4600,1834,1525,Sedan,https://ev-database.org/car/3050/Citroen-e-C4-X-54-kWh,12.86551,3.964086927,7.959,6.407840181
Citroen,e-SpaceTourer M 50 kWh,130,46.0,216.0,220,180,13.3,78.0,CCS,1000,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2252/Citroen-e-SpaceTourer-M-50-kWh,18.0823104,2.543922706,8.793,5.231434095
Citroen,e-SpaceTourer M 75 kWh,130,68.0,324.0,220,260,14.2,79.0,CCS,1000,603,9,FWD,N - Passenger Van,4983,1920,1890,Small Passenger Van,https://ev-database.org/car/2254/Citroen-e-SpaceTourer-M-75-kWh,18.0823104,3.760581391,8.793,7.733424315
Citroen,e-SpaceTourer XL 50 kWh,130,46.0,216.0,220,180,13.3,78.0,CCS,1000,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2253/Citroen-e-SpaceTourer-XL-50-kWh,19.3523904,2.376967344,9.143,5.031171388
Citroen,e-SpaceTourer XL 75 kWh,130,68.0,324.0,220,260,14.2,79.0,CCS,1000,989,9,FWD,N - Passenger Van,5333,1920,1890,Small Passenger Van,https://ev-database.org/car/2255/Citroen-e-SpaceTourer-XL-75-kWh,19.3523904,3.513777812,9.143,7.437383791
DS,3 E-Tense,150,51.0,102.0,260,300,9.0,85.0,CCS,0,350,5,FWD,JB - Compact,4118,1802,1534,SUV,https://ev-database.org/car/1791/DS-3-E-Tense,11.38325562,4.480264846,7.454,6.841964046
DS,N°4 E-Tense,160,58.0,174.0,345,375,7.1,70.0,CCS,0,390,5,FWD,JC - Medium,4400,1866,1470,Hatchback,https://ev-database.org/car/3200/DS-N4-E-Tense,12.069288,4.80558588,7.736,7.497414685
DS,N°8 AWD Long Range,190,97.0,226.0,511,530,5.4,130.0,CCS,1400,620,5,AWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3078/DS-N8-AWD-Long-Range,14.60873472,6.639863195,8.328,11.64745437
DS,N°8 FWD,190,74.0,152.0,345,415,7.7,100.0,CCS,1260,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3076/DS-N8-FWD,14.60873472,5.065462644,8.328,8.88568684
DS,N°8 FWD Long Range,190,97.0,152.0,345,545,7.8,130.0,CCS,1200,620,5,FWD,JD - Large,4834,1920,1574,SUV,https://ev-database.org/car/3077/DS-N8-FWD-Long-Range,14.60873472,6.639863195,8.328,11.64745437
Dacia,Spring Electric 45,125,25.0,72.0,125,165,19.1,29.0,CCS,0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2126/Dacia-Spring-Electric-45,9.0981224,2.747819704,6.838,3.656039778
Dacia,Spring Electric 65,125,25.0,72.0,113,160,13.7,29.0,CCS,0,308,4,FWD,A - Mini,3700,1622,1516,Hatchback,https://ev-database.org/car/2127/Dacia-Spring-Electric-65,9.0981224,2.747819704,6.838,3.656039778
Dongfeng,Box 31.4 kWh,140,29.0,89.0,160,190,12.5,50.0,CCS,79,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3035/Dongfeng-Box-314-kWh,11.423634,2.538596737,7.4,3.918918919
Dongfeng,Box 42.3 kWh,140,40.0,89.0,160,255,12.5,51.0,CCS,157,326,5,FWD,B - Compact,4020,1810,1570,Hatchback,https://ev-database.org/car/3036/Dongfeng-Box-423-kWh,11.423634,3.501512741,7.4,5.405405405
Elaris,BEO 86 kWh,150,81.0,1647.0,320,390,9.5,65.0,CCS,786,467,5,FWD,JD - Large,4698,1908,1696,SUV,https://ev-database.org/car/1975/Elaris-BEO-86-kWh,15.20257766,5.328043822,8.302,9.756685136
Fiat,500e 3+1 24 kWh,135,21.0,108.0,220,135,9.0,40.0,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1726/Fiat-500e-3plus1-24-kWh,9.343677717,2.247509025,6.843,3.068829461
Fiat,500e 3+1 42 kWh,150,37.0,192.0,220,235,9.0,67.0,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Hatchback,https://ev-database.org/car/1328/Fiat-500e-3plus1-42-kWh,9.343677717,3.959896854,6.843,5.40698524
Fiat,500e Cabrio 24 kWh,135,21.0,108.0,220,135,9.0,40.0,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1727/Fiat-500e-Cabrio-24-kWh,9.343677717,2.247509025,6.843,3.068829461
Fiat,500e Cabrio 42 kWh,150,37.0,192.0,220,230,9.0,67.0,CCS,0,185,4,FWD,B - Compact,3631,1683,1529,Cabriolet,https://ev-database.org/car/1275/Fiat-500e-Cabrio-42-kWh,9.343677717,3.959896854,6.843,5.40698524
